epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,752.874,1.61133,0.95246,1.06933,0.88617,0.74703,0.81346,0.43262,1.56856,2.06434,0.94519,0.0670179,0.000333153,0.000333153
2,1476.24,1.47637,0.78622,1.02019,0.91428,0.78173,0.85379,0.4903,1.44735,1.01466,0.92839,0.0340174,0.000666034,0.000666034
3,2207.67,1.43851,0.7476,1.01054,0.92069,0.80812,0.86269,0.50892,1.39612,0.79647,0.91438,0.00101518,0.000997108,0.000997108
4,2952.69,1.40075,0.70531,0.99851,0.94141,0.83622,0.88042,0.52585,1.34543,0.85707,0.90217,0.000993906,0.000993906,0.000993906
5,3702.14,1.37203,0.67812,0.98837,0.94221,0.8461,0.89166,0.54498,1.30291,0.77036,0.89082,0.000989183,0.000989183,0.000989183
6,4444.81,1.35557,0.66062,0.98471,0.94425,0.85701,0.89789,0.5537,1.27938,0.68727,0.88303,0.000983133,0.000983133,0.000983133
7,5202.27,1.33851,0.64249,0.97864,0.95339,0.85571,0.90061,0.557,1.26944,0.68557,0.8815,0.000975773,0.000975773,0.000975773
8,5969.17,1.31942,0.6291,0.97384,0.95377,0.86121,0.906,0.56374,1.25488,0.64221,0.87606,0.000967122,0.000967122,0.000967122
9,6740.31,1.31163,0.61934,0.97176,0.955,0.86391,0.90683,0.56655,1.2455,0.65299,0.87419,0.000957205,0.000957205,0.000957205
10,7499.32,1.29871,0.6092,0.96858,0.95337,0.86672,0.90851,0.56937,1.24045,0.64276,0.87264,0.000946048,0.000946048,0.000946048
11,8252.11,1.28954,0.60166,0.96565,0.95485,0.86791,0.90903,0.57117,1.2354,0.63152,0.87132,0.000933683,0.000933683,0.000933683
12,8989.52,1.2866,0.59521,0.96516,0.95577,0.8687,0.91014,0.572,1.23103,0.62723,0.87046,0.000920142,0.000920142,0.000920142
13,9735.36,1.27598,0.58966,0.96215,0.95804,0.86977,0.91126,0.57421,1.22703,0.62197,0.86962,0.000905463,0.000905463,0.000905463
14,10484.4,1.27162,0.58353,0.96139,0.95921,0.87002,0.91217,0.57628,1.22331,0.61773,0.86904,0.000889687,0.000889687,0.000889687
15,11231.2,1.26541,0.57806,0.96032,0.96272,0.87051,0.91379,0.57781,1.21987,0.61072,0.8684,0.000872857,0.000872857,0.000872857
16,11977.4,1.25515,0.5716,0.95782,0.96299,0.87148,0.91475,0.57864,1.2176,0.60836,0.86814,0.000855018,0.000855018,0.000855018
17,12742.8,1.25166,0.5668,0.95625,0.96405,0.87131,0.91573,0.58034,1.21488,0.60255,0.86755,0.00083622,0.00083622,0.00083622
18,13484.6,1.24699,0.56342,0.95477,0.9641,0.87266,0.91657,0.58185,1.21247,0.59561,0.86699,0.000816514,0.000816514,0.000816514
19,14228.2,1.24204,0.55864,0.95324,0.96466,0.87338,0.91742,0.58371,1.20864,0.5897,0.8662,0.000795954,0.000795954,0.000795954
20,15003.6,1.23913,0.55474,0.95318,0.96406,0.87651,0.91832,0.58487,1.20578,0.58372,0.86538,0.000774596,0.000774596,0.000774596
21,15741.4,1.23038,0.55036,0.9503,0.96503,0.87681,0.91968,0.58658,1.20252,0.57666,0.86463,0.0007525,0.0007525,0.0007525
22,740.767,1.24283,0.55439,0.95545,0.96546,0.87741,0.92012,0.58698,1.20091,0.57227,0.8644,0.000729725,0.000729725,0.000729725
23,1488.05,1.23457,0.55254,0.95025,0.96442,0.87814,0.92029,0.58728,1.19963,0.57139,0.86411,0.000706335,0.000706335,0.000706335
24,2180.58,1.23178,0.5501,0.95147,0.96408,0.87761,0.91985,0.58817,1.19812,0.56947,0.86373,0.000682392,0.000682392,0.000682392
25,2872.23,1.22259,0.54333,0.94808,0.96509,0.87781,0.92099,0.58872,1.19444,0.56485,0.86305,0.000657963,0.000657963,0.000657963
26,3582.45,1.21647,0.53925,0.94641,0.96539,0.87867,0.92168,0.58981,1.19215,0.56355,0.86226,0.000633115,0.000633115,0.000633115
27,4297.7,1.21673,0.53713,0.94854,0.96567,0.88048,0.92248,0.59058,1.18916,0.56087,0.86146,0.000607916,0.000607916,0.000607916
28,5014.43,1.20935,0.53117,0.94551,0.96793,0.87832,0.92283,0.59168,1.18609,0.55979,0.86082,0.000582435,0.000582435,0.000582435
29,5733.52,1.19987,0.52644,0.94391,0.96716,0.88054,0.92388,0.59255,1.18411,0.55933,0.86039,0.000556742,0.000556742,0.000556742
30,6472.74,1.19846,0.52347,0.94471,0.96734,0.87963,0.92402,0.59384,1.18129,0.55963,0.85975,0.000530906,0.000530906,0.000530906
31,7235.75,1.19431,0.51925,0.94282,0.96688,0.88168,0.9242,0.59484,1.18002,0.55714,0.85935,0.000505,0.000505,0.000505
32,8001.39,1.18888,0.51548,0.94104,0.96711,0.88201,0.92489,0.59587,1.17833,0.5558,0.85881,0.000479094,0.000479094,0.000479094
33,8767.68,1.18791,0.51444,0.9402,0.96687,0.88241,0.92539,0.59711,1.17541,0.55546,0.85817,0.000453258,0.000453258,0.000453258
34,9526.31,1.18143,0.50967,0.93939,0.96785,0.88331,0.9261,0.59821,1.17389,0.55223,0.85788,0.000427565,0.000427565,0.000427565
35,10288.6,1.17972,0.50774,0.93943,0.96819,0.88451,0.92684,0.5994,1.17142,0.54726,0.85746,0.000402084,0.000402084,0.000402084
36,11053.8,1.17594,0.50492,0.93783,0.96902,0.88571,0.92799,0.6005,1.17067,0.54417,0.85729,0.000376885,0.000376885,0.000376885
37,11806.8,1.1685,0.50214,0.93622,0.96956,0.88531,0.92885,0.60149,1.16871,0.54179,0.85693,0.000352037,0.000352037,0.000352037
38,12544.7,1.16687,0.49872,0.93569,0.9711,0.88521,0.92942,0.60196,1.16738,0.53976,0.85662,0.000327608,0.000327608,0.000327608
39,13289.4,1.1651,0.49831,0.93507,0.97118,0.88461,0.92976,0.60305,1.16532,0.53657,0.85618,0.000303665,0.000303665,0.000303665
40,14048.4,1.16293,0.49408,0.93459,0.97164,0.88561,0.92979,0.60382,1.16311,0.53344,0.85587,0.000280275,0.000280275,0.000280275
41,14803.1,1.16426,0.49322,0.93407,0.97142,0.88711,0.93051,0.60479,1.16133,0.53234,0.85544,0.0002575,0.0002575,0.0002575
42,15555.6,1.15781,0.49022,0.93271,0.97352,0.88594,0.93079,0.60557,1.15963,0.52932,0.85524,0.000235404,0.000235404,0.000235404
43,16313.6,1.15584,0.48832,0.93205,0.97352,0.88551,0.93105,0.60611,1.15785,0.5293,0.85483,0.000214046,0.000214046,0.000214046
44,17046.6,1.15509,0.48735,0.93254,0.97291,0.88621,0.93125,0.60675,1.15501,0.52944,0.85431,0.000193486,0.000193486,0.000193486
45,17764.3,1.15133,0.48363,0.93245,0.97341,0.88594,0.9317,0.60689,1.15382,0.53151,0.85422,0.00017378,0.00017378,0.00017378
46,739.144,1.14573,0.47992,0.93116,0.97323,0.88601,0.93193,0.6067,1.1538,0.52971,0.85408,0.000154982,0.000154982,0.000154982
47,1467.89,1.1394,0.47833,0.92697,0.97334,0.88712,0.93215,0.60761,1.15339,0.52845,0.85384,0.000137143,0.000137143,0.000137143
48,2192.23,1.13859,0.47774,0.9295,0.97336,0.88611,0.93204,0.6081,1.15315,0.52745,0.85374,0.000120313,0.000120313,0.000120313
49,2911.28,1.13449,0.47503,0.92746,0.97322,0.88662,0.93206,0.60849,1.15228,0.5266,0.85361,0.000104537,0.000104537,0.000104537
50,3629.31,1.12922,0.47225,0.92587,0.97329,0.88601,0.93236,0.60855,1.15211,0.52663,0.85349,8.98581e-05,8.98581e-05,8.98581e-05
51,4364.04,1.14548,0.46102,0.94019,0.97167,0.88484,0.93166,0.60879,1.151,0.52972,0.85338,7.63174e-05,7.63174e-05,7.63174e-05
52,5073.38,1.13772,0.45655,0.93848,0.97048,0.88621,0.9318,0.60906,1.15026,0.52849,0.85308,6.39518e-05,6.39518e-05,6.39518e-05
53,5782.12,1.13248,0.45292,0.93676,0.97191,0.88572,0.93157,0.60948,1.14935,0.52841,0.85302,5.2795e-05,5.2795e-05,5.2795e-05
54,6492.03,1.13001,0.45135,0.93653,0.97125,0.88502,0.93171,0.6097,1.1482,0.52794,0.85291,4.28777e-05,4.28777e-05,4.28777e-05
55,7201.46,1.1302,0.45037,0.93672,0.97138,0.88583,0.93176,0.60989,1.14748,0.52706,0.85264,3.4227e-05,3.4227e-05,3.4227e-05
56,7910.93,1.12743,0.44934,0.93463,0.97181,0.88582,0.93176,0.61049,1.14684,0.52537,0.85257,2.68667e-05,2.68667e-05,2.68667e-05
57,8620.75,1.12491,0.44783,0.93469,0.97027,0.88761,0.9316,0.61044,1.14608,0.52403,0.85247,2.08169e-05,2.08169e-05,2.08169e-05
58,9328.84,1.12497,0.4479,0.93421,0.9713,0.88675,0.93159,0.61115,1.14575,0.52279,0.85232,1.60943e-05,1.60943e-05,1.60943e-05
59,10038.1,1.12391,0.44665,0.93442,0.97234,0.88569,0.93168,0.61111,1.14574,0.52138,0.85227,1.27117e-05,1.27117e-05,1.27117e-05
60,10745.4,1.12279,0.44614,0.93432,0.96987,0.8883,0.93136,0.61093,1.14547,0.51947,0.85223,1.06784e-05,1.06784e-05,1.06784e-05
