epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3844,2.17952,2.45574,1.3132,0.76668,0.59547,0.67109,0.27811,2.18041,1.75741,1.22946,0.06766,0.000326667,0.000326667
2,38.447,1.70136,0.97214,1.09618,0.87117,0.73463,0.81714,0.40611,1.80652,0.93628,1.11829,0.0346469,0.000646932,0.000646932
3,56.5681,1.64475,0.88484,1.06587,0.93308,0.77346,0.83023,0.42131,1.7335,0.88901,1.08763,0.00162066,0.000953997,0.000953997
4,74.9193,1.59778,0.85542,1.05603,0.93668,0.73786,0.84999,0.43965,1.76245,0.82936,1.09869,0.0009406,0.0009406,0.0009406
5,94.6695,1.56401,0.81895,1.04254,0.88303,0.76699,0.84106,0.4517,1.70622,0.77254,1.07463,0.0009208,0.0009208,0.0009208
6,114.112,1.53742,0.80575,1.03517,0.88825,0.79741,0.86449,0.45631,1.73386,0.76763,1.09909,0.000901,0.000901,0.000901
7,133.074,1.53723,0.79303,1.03649,0.9112,0.84142,0.87583,0.47335,1.67562,0.73744,1.08092,0.0008812,0.0008812,0.0008812
8,152.035,1.5064,0.77277,1.02518,0.92489,0.80259,0.86295,0.45825,1.7176,0.75095,1.08449,0.0008614,0.0008614,0.0008614
9,172.146,1.49412,0.7713,1.01545,0.9325,0.80259,0.86603,0.46534,1.72288,0.761,1.07158,0.0008416,0.0008416,0.0008416
10,193.196,1.4942,0.74765,1.01177,0.92439,0.82848,0.87915,0.46949,1.64083,0.73928,1.05339,0.0008218,0.0008218,0.0008218
11,213.449,1.47741,0.72589,1.018,0.91652,0.79935,0.86663,0.47449,1.68205,0.72347,1.06877,0.000802,0.000802,0.000802
12,233.613,1.44285,0.70916,0.99905,0.92244,0.83172,0.88628,0.48783,1.65345,0.71319,1.06609,0.0007822,0.0007822,0.0007822
13,253.645,1.47325,0.71719,1.00593,0.93305,0.82848,0.87664,0.48647,1.64218,0.72125,1.05013,0.0007624,0.0007624,0.0007624
14,273.847,1.43896,0.7149,1.01169,0.9353,0.82848,0.88246,0.49112,1.61112,0.71411,1.05356,0.0007426,0.0007426,0.0007426
15,294.147,1.41941,0.69428,0.99102,0.93671,0.8123,0.88774,0.49959,1.6189,0.72023,1.04707,0.0007228,0.0007228,0.0007228
16,314.553,1.41903,0.69664,0.99813,0.95501,0.83495,0.90208,0.50792,1.59066,0.7533,1.04265,0.000703,0.000703,0.000703
17,334.793,1.40672,0.686,0.99441,0.94797,0.82524,0.89545,0.49674,1.61475,0.72043,1.05298,0.0006832,0.0006832,0.0006832
18,354.991,1.41023,0.68857,0.99561,0.94149,0.83317,0.88329,0.50004,1.6359,0.68834,1.05716,0.0006634,0.0006634,0.0006634
19,375.317,1.41337,0.68274,1.00135,0.95603,0.84435,0.89217,0.49307,1.59121,0.69016,1.03498,0.0006436,0.0006436,0.0006436
20,395.851,1.39107,0.67668,0.98504,0.96305,0.84348,0.88464,0.50151,1.59841,0.67989,1.04182,0.0006238,0.0006238,0.0006238
21,416.167,1.39065,0.668,0.99091,0.94834,0.83177,0.88323,0.50846,1.62524,0.70254,1.05516,0.000604,0.000604,0.000604
22,436.654,1.3433,0.64097,0.98327,0.93035,0.82524,0.8745,0.48667,1.60943,0.68995,1.0482,0.0005842,0.0005842,0.0005842
23,457.081,1.3536,0.64989,0.97749,0.94616,0.85315,0.88462,0.49729,1.55098,0.66159,1.02927,0.0005644,0.0005644,0.0005644
24,477.448,1.38793,0.66309,0.97895,0.94584,0.8477,0.89879,0.50656,1.61967,0.6653,1.04487,0.0005446,0.0005446,0.0005446
25,497.925,1.36451,0.64953,0.97701,0.94849,0.83819,0.89317,0.50378,1.55536,0.68113,1.03181,0.0005248,0.0005248,0.0005248
26,518.388,1.34064,0.6388,0.96459,0.91822,0.83574,0.90132,0.51643,1.55935,0.66313,1.03133,0.000505,0.000505,0.000505
27,538.564,1.33963,0.63206,0.9702,0.91895,0.84388,0.90537,0.51651,1.54079,0.65442,1.02848,0.0004852,0.0004852,0.0004852
28,558.872,1.33488,0.63173,0.97094,0.96144,0.807,0.89272,0.50871,1.5688,0.6644,1.03266,0.0004654,0.0004654,0.0004654
29,579.234,1.32075,0.61835,0.96232,0.93017,0.8479,0.89732,0.51335,1.58665,0.67075,1.0384,0.0004456,0.0004456,0.0004456
30,599.584,1.3485,0.62684,0.97078,0.92936,0.84466,0.89303,0.51199,1.547,0.65156,1.03226,0.0004258,0.0004258,0.0004258
31,619.859,1.31153,0.62532,0.97088,0.94282,0.86731,0.91011,0.51667,1.57056,0.66473,1.04078,0.000406,0.000406,0.000406
32,640.265,1.31549,0.61874,0.96343,0.94661,0.87055,0.91221,0.52012,1.58127,0.64917,1.04152,0.0003862,0.0003862,0.0003862
33,660.699,1.29364,0.60863,0.96187,0.93639,0.85753,0.91327,0.53079,1.514,0.64879,1.02276,0.0003664,0.0003664,0.0003664
34,681.124,1.28789,0.60263,0.96204,0.93661,0.86066,0.89102,0.51345,1.53928,0.65832,1.02393,0.0003466,0.0003466,0.0003466
35,701.427,1.28165,0.59974,0.95546,0.94033,0.85437,0.89659,0.52016,1.52084,0.67031,1.02226,0.0003268,0.0003268,0.0003268
36,721.834,1.27053,0.60601,0.9546,0.94868,0.8479,0.89918,0.51784,1.50731,0.66871,1.02336,0.000307,0.000307,0.000307
37,742.33,1.25431,0.58496,0.94787,0.93558,0.86408,0.9086,0.51979,1.53219,0.64908,1.03515,0.0002872,0.0002872,0.0002872
38,762.519,1.27016,0.58838,0.96016,0.92126,0.87055,0.90784,0.5154,1.56073,0.62572,1.03994,0.0002674,0.0002674,0.0002674
39,782.838,1.27797,0.58743,0.95486,0.94744,0.87508,0.9215,0.53073,1.49706,0.62761,1.01899,0.0002476,0.0002476,0.0002476
40,803.231,1.26506,0.587,0.95049,0.94688,0.86526,0.91289,0.52197,1.50364,0.63702,1.01866,0.0002278,0.0002278,0.0002278
41,836.994,1.26972,0.57222,0.96679,0.9532,0.87379,0.92085,0.52506,1.53143,0.63928,1.03569,0.000208,0.000208,0.000208
