epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1119.95,2.01331,1.37289,0.00405,0.78789,0.65233,0.74537,0.38405,1.85858,1.16074,0.00404,0.000333197,0.000333197,0.0670135
2,2223.66,1.91462,1.00056,0.00382,0.85318,0.76064,0.83647,0.44468,1.69919,1.00193,0.00381,0.000657104,0.000657104,0.0340041
3,3327.48,1.87078,0.92134,0.00369,0.88307,0.80469,0.86145,0.48021,1.61216,0.96658,0.00356,0.000971582,0.000971582,0.000985215
4,4431.27,1.80856,0.85914,0.00353,0.91234,0.83012,0.88764,0.51534,1.52641,0.74378,0.00336,0.000957571,0.000957571,0.000957571
5,5535.39,1.76488,0.80214,0.00342,0.92611,0.84942,0.89874,0.53202,1.49153,0.69139,0.00322,0.000943429,0.000943429,0.000943429
6,6639.73,1.73443,0.76805,0.00332,0.9334,0.8544,0.90464,0.54172,1.469,0.64143,0.00314,0.000929286,0.000929286,0.000929286
7,1105.75,1.71131,0.74334,0.00327,0.93326,0.86039,0.90735,0.54527,1.45705,0.648,0.0031,0.000915143,0.000915143,0.000915143
8,1167.46,1.69149,0.72403,0.00322,0.93516,0.86068,0.90762,0.54623,1.4536,0.648,0.0031,0.000901,0.000901,0.000901
9,2346.79,1.68687,0.71944,0.0032,0.93664,0.86441,0.90878,0.54883,1.44929,0.63774,0.00309,0.000886857,0.000886857,0.000886857
10,3528.66,1.67302,0.70025,0.00317,0.93981,0.86705,0.91105,0.55172,1.44311,0.6222,0.00306,0.000872714,0.000872714,0.000872714
11,4709.77,1.65181,0.68178,0.0031,0.93973,0.86917,0.91233,0.5552,1.43578,0.61121,0.00305,0.000858571,0.000858571,0.000858571
12,5889.42,1.63618,0.65649,0.00308,0.94507,0.87202,0.91542,0.55957,1.43036,0.59671,0.00304,0.000844429,0.000844429,0.000844429
13,1174.18,1.6382,0.66438,0.00309,0.94656,0.8729,0.91697,0.56085,1.42603,0.59508,0.00303,0.000830286,0.000830286,0.000830286
14,2279.64,1.63799,0.66117,0.00309,0.94804,0.87443,0.91791,0.56285,1.42143,0.58668,0.00302,0.000816143,0.000816143,0.000816143
15,3397.31,1.62854,0.65214,0.00306,0.94998,0.87641,0.919,0.56615,1.41566,0.581,0.003,0.000802,0.000802,0.000802
16,4519.58,1.61497,0.63993,0.00302,0.95222,0.87977,0.92159,0.56978,1.4091,0.57461,0.00298,0.000787857,0.000787857,0.000787857
17,5636.7,1.60284,0.62534,0.00299,0.95199,0.88357,0.92313,0.57257,1.40083,0.5665,0.00296,0.000773714,0.000773714,0.000773714
18,6752.51,1.59325,0.61547,0.00296,0.95387,0.88409,0.92476,0.57664,1.39448,0.55171,0.00294,0.000759571,0.000759571,0.000759571
